state	county	wheat1_a	wheat1_y	wheat2_a	wheat2_y	oats_a	oats_y	rice_a	rice_y	corn_a	corn_y	cotton_a	cotton_y	scane_a	scane_y
21	1090	24457	411022	355	4296	25513	275663	0	0	83631	1110083	0	0	0	0
21	1110	188	838	3007	18205	24836	322935	0	0	27472	491329	0	0	0	0
21	1130	12960	188396	244	2765	140167	1881287	0	0	259445	8363996	0	0	0	0
21	1150	33052	724052	29	178	22946	353976	0	0	109794	2907621	0	0	0	0
21	1170	60675	1146765	496	6839	13937	155391	0	0	42835	372000	0	0	0	0
21	1190	82135	1710010	1151	17552	16589	240135	0	0	44374	465682	0	0	0	0
21	1210	11517	135094	60	250	10570	110940	0	0	46975	580261	0	0	0	0
21	1230	2338	13695	8	50	22584	170391	0	0	64332	1356441	0	0	0	0
21	1250	61991	871601	148	1572	11872	127315	0	0	79229	1326811	0	0	0	0
21	1270	7105	106995	0	0	1402	22557	0	0	20760	546567	0	0	0	0
21	1290	35643	748421	113	1144	14069	197351	0	0	45352	1057332	0	0	0	0
21	1310	2913	54910	0	0	6479	65264	0	0	84102	2336804	0	0	0	0
21	1330	52418	1130864	0	0	6904	174431	0	0	28296	376454	0	0	0	0
21	1350	47871	947402	208	2115	18161	210710	0	0	59036	768189	0	0	0	0
21	1370	49052	1097700	91	1024	15701	259191	0	0	80579	945172	0	0	0	0
21	1390	18051	357959	48	570	11503	176135	0	0	60669	1495343	0	0	0	0
21	1410	1515	7979	1679	11057	68354	965997	0	0	93938	2989235	0	0	0	0
21	1430	14378	141953	504	3834	20077	193528	0	0	75348	1940604	0	0	0	0
21	1450	31997	393297	0	0	10488	145156	0	0	31533	278405	0	0	0	0
21	1470	21654	424355	240	1807	30468	378156	0	0	84827	2017454	0	0	0	0
21	1490	49905	693948	663	7087	7329	80271	0	0	39983	240800	0	0	0	0
21	1510	4165	51407	0	0	903	13056	0	0	23191	454966	0	0	0	0
21	1530	5923	88246	129	924	1312	25251	0	0	22042	498683	2057	1024	0	0
21	1550	1655	13444	106	479	2961	18637	0	0	22125	461285	0	0	0	0
21	1570	67884	1084805	63	449	6776	166488	0	0	37403	544120	0	0	0	0
21	1590	9643	123567	21	80	9203	92463	0	0	38211	881156	0	0	0	0
21	1610	2034	26977	23	107	5811	65582	0	0	52293	1513784	0	0	0	0
21	1630	84820	1798345	127	995	23062	552551	0	0	47693	382017	0	0	0	0
21	1650	20372	331304	0	0	5397	128842	0	0	41710	941121	0	0	0	0
21	1670	65543	1541852	672	13062	36462	571086	0	0	143525	3038194	0	0	0	0
21	1690	25279	311550	32	121	5553	45951	0	0	34619	464236	0	0	0	0
21	1710	23013	443576	27	114	1541	21289	0	0	31835	239498	0	0	0	0
21	1730	19198	294678	154	1422	13169	171414	0	0	100738	2439514	0	0	0	0
21	1750	245	4983	0	0	1991	14280	0	0	51284	1266030	0	0	0	0
21	1770	557	3800	1853	15669	51091	815396	0	0	64548	2199651	0	0	0	0
21	1790	41558	646175	408	3214	42165	593422	0	0	104915	3163088	0	0	0	0
21	1810	10219	174191	0	0	395	9068	0	0	29747	544452	0	0	0	0
21	1830	24703	372062	1179	14260	78601	917920	0	0	150227	2806696	0	0	0	0
21	1850	23687	462209	8	25	4601	83572	0	0	28055	1014757	0	0	0	0
21	1870	1967	21761	0	0	9152	98929	0	0	91541	2427148	0	0	0	0
21	1890	81639	1319579	97	990	8020	135291	0	0	34315	277987	0	0	0	0
21	1910	12059	156606	191	1073	5960	75625	0	0	74535	1427564	0	0	0	0
21	1930	43539	794119	0	0	9319	196025	0	0	68379	2104605	0	0	0	0
21	1950	16594	242825	426	4357	43923	522136	0	0	110436	3970566	0	0	0	0
21	1970	1146	6380	55	130	98943	1085544	0	0	93781	951797	0	0	0	0
21	1990	8630	105160	0	0	1717	28436	0	0	37135	518012	0	0	0	0
21	2010	473	2598	1639	8642	29451	356707	0	0	50024	1489417	0	0	0	0
21	2030	3855	34275	104	405	59217	544861	0	0	94121	2726091	0	0	0	0
21	0	2047881	36209694	32376	276456	2629160	33731515	0	0	6889686	152010682	6111	3928	0	0
		0	0	0	0	0	0	0	0	0	0	0	0	0	0
															
22	10	18432	350655	99	1305	24681	344509	0	0	34678	778503	0	0	0	0
22	30	28828	598367	115	1594	50309	945118	0	0	66443	2044882	0	0	0	0
22	50	36226	648333	0	0	2296	36041	0	0	45499	1533067	0	0	0	0
22	70	6674	86097	216	1695	57893	655340	0	0	81816	1647790	0	0	0	0
22	90	5698	78555	0	0	5991	77780	0	0	19395	426516	0	0	0	0
22	110	21919	419372	0	0	20200	327216	0	0	64645	2264268	0	0	0	0
22	130	686	8324	0	0	84	1418	0	0	9477	235047	0	0	0	0
22	150	27239	441881	0	0	17651	279929	0	0	55470	1871432	0	0	0	0
22	170	25789	420221	59	480	19514	333495	0	0	55931	1472390	0	0	0	0
22	190	11517	172834	0	0	1131	19489	0	0	24534	481858	0	0	0	0
22	210	22492	402108	0	0	3628	54583	0	0	36637	1257911	0	0	0	0
22	230	37490	681588	111	1335	22861	428848	0	0	65022	2390666	0	0	0	0
22	250	5420	61567	0	0	433	6609	0	0	17280	407257	0	0	0	0
22	270	26408	459890	0	0	6736	110961	0	0	51021	1623568	0	0	0	0
22	290	11288	163983	0	0	1168	17638	0	0	19918	304974	0	0	0	0
22	310	33911	576109	0	0	1619	24773	0	0	49489	1799373	0	0	0	0
