state	county	corn_a	corn_y	wheat_a	wheat_y	oats_a	oats_y	rice_a	rice_y	cotton_a	cotton_y	scane_a	scane_y
22	570	36486	1068509	13814	123435	8590	163192	0	0	0	0	0	0
22	590	59470	1791700	19261	441486	30917	876386	0	0	0	0	0	0
22	610	49909	1448185	14156	279514	21771	585494	0	0	0	0	0	0
22	630	21726	507421	14805	181345	4996	100356	0	0	0	0	0	0
22	650	53227	1533167	12649	231689	21485	431376	0	0	0	0	0	0
22	670	60584	2028616	16766	314242	25455	694027	0	0	0	0	0	0
22	690	45512	1645578	13849	318814	22463	765472	0	0	0	0	0	0
22	710	40466	1138082	13554	267454	35060	952429	0	0	0	0	0	0
22	730	33728	862642	22224	274173	4249	65653	0	0	0	0	0	0
22	750	76752	2442126	14742	266619	55609	1598907	0	0	0	0	0	0
22	770	41566	980797	8040	140142	30819	765253	0	0	0	0	0	0
22	790	15164	358722	8595	100722	1248	22828	0	0	0	0	0	0
22	810	17093	419136	7175	87100	1468	24178	0	0	0	0	0	0
22	830	45518	1659185	31399	596679	5940	139983	0	0	0	0	0	0
22	850	69515	2282143	51798	607285	10489	206576	0	0	0	0	0	0
22	870	55168	2027031	19970	373174	28224	937399	0	0	0	0	0	0
22	890	30166	969330	23648	378276	17246	475461	0	0	0	0	0	0
22	910	38685	1167842	11687	212347	32305	1015850	0	0	0	0	0	0
22	930	53858	1593486	32416	452093	32570	994389	0	0	0	0	0	0
22	950	24301	687177	4732	62933	4662	88001	0	0	0	0	0	0
22	970	66608	2352404	18303	420327	36092	1192297	0	0	0	0	0	0
22	990	31471	932567	12400	253395	12406	301130	0	0	0	0	0	0
22	1010	39489	1330064	16496	310602	17780	532004	0	0	0	0	0	0
22	1030	15663	473496	3935	38777	2168	36088	0	0	0	0	0	0
22	1050	43597	1529890	21484	416471	22681	723268	0	0	0	0	0	0
22	1070	14687	371499	2285	26689	3690	74505	0	0	0	0	0	0
22	1090	73517	2410345	27268	569467	41738	1156970	0	0	0	0	0	0
22	1110	37715	1171033	16578	236664	6359	124020	0	0	0	0	0	0
22	1130	64111	2219900	7842	181045	52648	1672903	0	0	0	0	0	0
22	1150	34058	1203979	20834	391554	25851	729396	0	0	0	0	0	0
22	1170	5130	157879	2045	25922	398	5672	0	0	0	0	0	0
22	1190	20403	523796	6581	78261	5529	104992	0	0	0	0	0	0
22	1210	17457	416009	4615	41703	3455	47539	0	0	0	0	0	0
22	1230	36998	1153745	13398	227528	15365	329534	0	0	0	0	0	0
22	1250	19652	430002	8061	73071	3369	59175	0	0	0	0	0	0
