state	county	name	var1	var2	var42	var99	var169	var170	var171	var173	var174	var175	var229	var236	var238	var249	var269	var273
64	150	CHOUTEAU	11051	1649	1174577	931636	16027	1312	14715	396	86	311	13387	197144	6746	0	0	0
64	170	CUSTER	12194	716	935151	331178	14491	3021	11470	112	34	78	15007	18127	6204	0	0	0
64	190	DANIELS		1020	505066	725710	12646	1847	10799	205	85	120	5092	141723	17666	0	0	0
64	210	DAWSON	9239	1105	736538	754856	21773	3563	18210	116	57	59	21474	92513	22455	0	0	0
64	230	DEER LODGE	15323	93	77506	97525	1038	103	935	3	0	3	0	625	722	0	0	0
64	250	FALLON	4548	659	591749	519528	10595	1551	9044	112	52	60	13218	76004	10850	0	0	0
64	270	FERGUS	28344	1918	1346699	1165255	22228	2590	19638	401	43	358	13979	198157	25369	0	0	0
64	290	FLATHEAD	21705	1238	262984	703951	5026	284	4742	77	19	58	1042	28712	7772	0	0	0
64	310	GALLATIN	15864	1026	443145	1060425	11259	1088	10171	270	69	201	218	57392	11987	0	0	0
64	330	GARFIELD	5368	1312	710333	484230	22685	5075	17610	186	42	144	18089	28458	10614	0	0	0
64	350	GLACIER	4178	344	1060670	204195	8670	1815	6855	43	19	24	0	19495	3632	0	0	0
64	370	GOLDEN VALLEY		492	313345	203775	4858	478	4380	241	39	202	10519	51041	5972	0	0	0
64	390	GRANITE	4167	227	184393	164430	2635	351	2284	92	22	70	0	1581	1097	0	0	0
64	410	HILL	13958	1421	789391	834737	15091	1761	13330	166	14	152	8800	173752	11091	0	0	0
64	430	JEFFERSON	5203	446	220553	255970	3796	329	3467	139	46	93	182	6287	902	0	0	0
64	450	JUDITH BASIN		783	656824	823582	8827	953	7874	276	26	250	429	125558	7044	0	0	0
64	470	LAKE		964	244589	417180	6053	449	5604	98	0	98	951	34633	5393	0	0	0
64	490	LEWIS AND CLARK	18660	543	793536	548384	6253	758	5495	399	119	280	902	14201	3635	0	0	0
64	510	LIBERTY	2416	446	317813	254010	5051	726	4325	19	1	18	1188	46246	2246	0	0	0
64	530	LINCOLN	7797	583	99356	181895	1853	171	1682	7	1	6	26	1063	918	0	0	0
64	550	MCCONE	4747	1072	593547	658550	25404	5721	19683	81	11	70	19441	69223	14744	0	0	0
64	570	MADISON	7495	715	587442	506705	8639	877	7762	114	28	86	3	11598	4976	0	0	0
64	590	MEAGHER	2622	310	802227	313968	4755	704	4051	60	13	47	0	4743	2081	0	0	0
64	610	MINERAL	2327	103	26270	40255	378	25	353	15	4	11	50	712	283	0	0	0
64	630	MISSOULA	24041	673	207611	440378	3207	239	2968	91	23	68	317	10354	4476	0	0	0
64	650	MUSSELSHELL	12030	650	492421	394654	9041	1384	7657	196	28	168	13522	46721	7127	0	0	0
64	670	PARK	11330	619	666059	518075	7367	938	6429	148	27	121	6	21727	5062	0	0	0
64	710	PHILLIPS	9311	1427	870349	573290	24271	4808	19463	288	182	106	25488	62081	11985	0	0	0
64	730	PONDERA	5741	794	461635	585228	20504	2606	17898	362	60	302	1863	93050	7446	0	0	0
64	750	POWDER RIVER	3357	838	828275	329628	13111	2524	10587	174	74	100	10052	6459	4767	0	0	0
64	770	POWELL	6909	360	570888	389947	5108	711	4397	79	45	34	4	4144	3011	0	0	0
64	790	PRAIRIE	3684	560	521008	344330	11150	2256	8894	112	29	83	14551	54160	8639	0	0	0
64	810	RAVALLI	10098	1039	207211	615550	5356	326	5030	174	66	108	451	6998	4174	0	0	0
64	830	RICHLAND	8989	1429	692068	955094	18040	2012	16028	335	186	149	27584	112743	22724	0	0	0
64	850	ROOSEVELT	10347	1267	754441	816325	17457	2776	14681	209	35	174	19988	126153	20051	0	0	0
64	870	ROSEBUD	8002	792	935352	439608	14608	2501	12107	104	42	62	15190	40034	9612	0	0	0
64	890	SANDERS	4903	669	236030	302546	3620	359	3261	29	9	20	277	6181	1509	0	0	0
64	910	SHERIDAN	13847	1487	731778	1202257	16514	1847	14667	200	78	121	13093	197172	27766	0	0	0
64	930	SILVER BOW	60313	180	75847	109687	1296	175	1121	40	10	30	0	128	212	0	0	0
64	950	STILLWATER	7630	946	607083	642168	8363	775	7588	507	84	423	7445	90933	9591	0	0	0
64	970	SWEET GRASS	4926	632	689546	501210	6120	783	5337	267	62	205	1333	28927	5060	0	0	0
64	990	TETON	5870	1089	817682	882715	12413	1677	10736	297	57	240	2748	114523	8832	0	0	0
64	1010	TOOLE	3724	605	474064	371545	6762	951	5811	57	5	52	2150	41909	2619	0	0	0
64	1030	TREASURE	1990	299	221188	206945	3604	688	2916	87	25	62	6229	12923	2429	0	0	0
64	1050	VALLEY	11542	1925	1109017	1222316	28278	4516	23762	346	118	228	17167	148182	19362	0	0	0
64	1070	WHEATLAND	5619	386	491412	357255	4564	473	4091	169	33	136	2421	37832	4506	0	0	0
64	1090	WIBAUX	3113	466	263198	366175	7276	781	6495	115	14	101	6629	53883	12447	0	0	0
64	1110	YELLOWSTONE	29600	1960	686184	1193830	15916	1812	14104	463	108	355	22539	97269	12325	0	0	0
64	1130	YELLOWSTONE N.P.																
65	0	NEVADA	77407	3883	4090586	3715338	50222	8200	42022	4090	917	3173	1725	13862	1831	0	0	0
65	10	CHURCHILL	4649	558	132712	383720	3270	469	2801	500	128	372	219	3416	74	0	0	0
65	30	CLARK	4859	212	15301	79965	898	117	781	30	0	30	340	800	7	0	0	0
65	50	DOUGLAS	1825	165	215441	331060	1570	150	1420	113	54	59	0	1404	331	0	0	0
65	70	ELKO	8083	538	1644619	758876	16804	3336	13468	856	346	510	0	869	495	0	0	0
65	90	ESMERALDA	2410	34	17453	28510	410	56	354	67	14	53	8	50	5	0	0	0
65	110	EUREKA	1350	82	110364	135705	3239	454	2785	210	15	195	0	24	2	0	0	0
65	130	HUMBOLDT	3743	289	550519	341320	5985	1028	4957	349	84	265	20	21	10	0	0	0
65	150	LANDER	1484	49	124957	56392	1916	389	1527	206	58	148	0	116	8	0	0	0
65	170	LINCOLN	2287	179	32634	59650	1120	70	1050	116	4	112	674	34	34	0	0	0
65	190	LYON	4078	471	152075	355912	2454	259	2195	153	19	134	34	1354	14	0	0	0
65	210	MINERAL	1848	128	30374	60480	605	74	531	80	10	70	0	25	0	0	0	0
65	230	NYE	6504	182	98900	123063	2228	319	1909	192	16	176	315	107	120	0	0	0
65	250	ORMSBY	2453	59	17843	40520	229	21	208	15	2	13	0	76	0	0	0	0
65	270	PERSHING	2803	161	199151	172120	1927	268	1659	342	23	319	28	3700	7	0	0	0
65	290	STOREY	1469	14	1964	6301	51	7	44	18	6	12	0	20	0	0	0	0
65	310	WASHOE	18627	566	607502	543835	5356	778	4578	670	117	553	65	1389	159	0	0	0
65	330	WHITE PINE	8935	196	138777	237909	2160	405	1755	173	21	152	22	457	565	0	0	0
66	0	NEW MEXICO	360350	31687	27850325	8712473	186573	24459	162114	30837	4918	25919	215811	207632	35034	0	108488	0
66	10	BERNALILLO	29855	1234	219082	285797	3533	341	3192	213	10	203	4949	738	219	0	0	0
66	30	CATRON		462	771440	85933	4112	605	3507	333	14	319	2978	28	213	0	0	0
66	50	CHAVES	12075	955	1702932	494127	6369	746	5623	1512	305	1207	2281	108	828	0	18739	0
66	70	COLFAX	21550	812	1893759	511271	6177	603	5574	740	100	640	15467	9023	7150	0	0	0
66	90	CURRY	11236	1169	568487	538020	5986	469	5517	3174	450	2724	11425	66585	8313	0	2834	0
66	110	DE BACA	3196	396	931611	83890	2619	388	2231	501	96	405	652	0	0	0	357	0
66	130	DONA ANA	16548	1537	501283	643686	4834	374	4460	977	44	933	3257	466	21	0	26407	0
66	150	EDDY	9116	1045	720339	555289	5695	554	5141	1933	196	1737	888	45	122	0	32286	0
66	170	GRANT	21939	560	632740	212765	4763	536	4227	403	22	381	3935	276	38	0	59	0
66	190	GUADALUPE	8015	865	1418784	127483	4429	681	3748	777	122	655	4201	75	5	0	36	0
66	210	HARDING		765	958018	320555	5263	596	4667	1099	134	965	16957	30903	348	0	466	0
66	230	HIDALGO	4338	301	696246	75575	4524	955	3569	351	57	294	843	428	43	0	244	0
66	250	LEA	3545	766	1803672	195781	5544	757	4787	1249	334	915	1766	22	0	0	5331	0
